average,bypass,deaths,density,injuries,location,Latitude,longitude,outlier_mask,yield
123772,0,43800,1000,68110,"Fargo, ND-MN United States  ",46.8474456,-96.7711558,FALSE,100
123772,0,35830,1000,39720,Lahti Finland  ,60.9838761,25.6561814,FALSE,100
123772,0,30740,1000,43180,"Medford, OR United States  ",42.3264181,-122.8718605,FALSE,100
123772,0,18440,1000,28760,"Nanaimo, BC Canada  ",49.1637594,-123.9379719,FALSE,100
123772,0,14840,1000,46150,"Victorville, CA United States  ",34.5361067,-117.2911565,FALSE,100
123772,0,23020,1000,158540,Arabia Ad-Dammam Saudi  ,26.234719,50.0081712,FALSE,100
123772,0,29750,1000,52180,"Indio, CA United States  ",33.7192808,-116.2188054,FALSE,100
123772,0,46550,1000,50860,"Bloomington, IN United States  ",39.1670396,-86.5342881,FALSE,100
123772,0,30950,1000,38640,"Peterborough, ON Canada  ",44.3048009,-78.3199496,FALSE,100
123772,0,35550,1000,69960,"Fort Collins, CO United States  ",40.5508527,-105.0668085,FALSE,100
123772,0,33050,1000,45180,"Norman, OK United States  ",35.2225717,-97.4394816,FALSE,100
123772,0,26730,1000,43040,"Cairns, QLD Australia  ",-16.9206657,145.7721854,FALSE,100
123772,0,33140,1000,43760,"St. Cloud, MN United States  ",45.5616075,-94.1642004,FALSE,100
123772,0,14160,1000,39230,"Kelowna,BC Canada  ",49.889326,-119.498291,FALSE,100
123772,0,72930,1000,147010,"Rochester, NY United States  ",43.157285,-77.615214,FALSE,100
123772,0,54920,1000,114740,"St. Louis, MO United States",38.6268039,-90.1994097,FALSE,100
123772,0,21410,1000,29480,"Kailua, HI United States  ",21.393623,-157.743759,FALSE,100
123772,0,82560,1000,96800,Saint-Etienne France  ,45.4401467,4.3873058,FALSE,100
123772,0,51780,1000,69410,Dunkerque France  ,51.0347708,2.3772525,FALSE,100
123772,0,67090,1000,116930,"Cleveland, OH United States  ",41.5051613,-81.6934446,FALSE,100
123772,0,39710,1000,54440,"Barrie, ON Canada  ",44.3893113,-79.6901736,FALSE,100
123772,0,88900,1000,182620,"Detroit, MI United States  ",42.3315509,-83.0466403,TRUE,100
123772,0,44360,1000,63770,"Erie, PA United States  ",42.1294712,-80.0852695,FALSE,100
123772,0,25990,1000,53960,"Killeen, TX United States  ",31.1171441,-97.727796,FALSE,100
123772,0,51280,1000,84330,"Eugene, OR United States  ",44.0505054,-123.0950506,FALSE,100
123772,0,33130,1000,48450,"Greeley, CO United States  ",40.4233142,-104.7091322,FALSE,100
123772,0,46790,1000,180240,"Brownsville, TX United States  ",25.9140256,-97.4890856,FALSE,100
123772,0,65350,1000,156040,"Buffalo, NY United States  ",42.8867166,-78.8783922,FALSE,100
123772,0,100700,1000,129490,Grenoble France  ,45.1875602,5.7357819,TRUE,100
123772,0,54500,1000,100190,"Reno, NV-CA United States  ",39.52927,-119.8136744,FALSE,100
221315,0,60180,2000,96320,Arnhem Netherlands  ,52.0056642,5.876234508,FALSE,100
221315,0,75740,2000,139300,Khabarovsk Russia  ,48.481403,135.076935,FALSE,100
221315,0,33590,2000,18160,Banjul Gambia  ,13.44134645,-16.56247133,FALSE,100
221315,0,91050,2000,122770,Ghent Belgium  ,51.0538286,3.7250121,FALSE,100
221315,0,72920,2000,136190,Mito Japan  ,36.3657792,140.4713933,FALSE,100
221315,0,78970,2000,95600,Braunschweig Germany  ,52.2646577,10.5236066,FALSE,100
