average,bypass,deaths,density,injuries,location,outlier_mask,yield
123772,0,43800,1000,68110,"Fargo, ND-MN United States  ",FALSE,100
123772,0,35830,1000,39720,Lahti Finland  ,FALSE,100
123772,0,30740,1000,43180,"Medford, OR United States  ",FALSE,100
123772,0,18440,1000,28760,"Nanaimo, BC Canada  ",FALSE,100
123772,0,14840,1000,46150,"Victorville, CA United States  ",FALSE,100
123772,0,23020,1000,158540,Arabia Ad-Dammam Saudi  ,FALSE,100
123772,0,29750,1000,52180,"Indio, CA United States  ",FALSE,100
123772,0,46550,1000,50860,"Bloomington, IN United States  ",FALSE,100
123772,0,30950,1000,38640,"Peterborough, ON Canada  ",FALSE,100
123772,0,35550,1000,69960,"Fort Collins, CO United States  ",FALSE,100
123772,0,33050,1000,45180,"Norman, OK United States  ",FALSE,100
123772,0,26730,1000,43040,"Cairns, QLD Australia  ",FALSE,100
123772,0,33140,1000,43760,"St. Cloud, MN United States  ",FALSE,100
123772,0,14160,1000,39230,"Kelowna,BC Canada  ",FALSE,100
123772,0,72930,1000,147010,"Rochester, NY United States  ",FALSE,100
123772,0,54920,1000,114740,"St. Louis, MO United States",FALSE,100
123772,0,21410,1000,29480,"Kailua, HI United States  ",FALSE,100
123772,0,82560,1000,96800,Saint-Etienne France  ,FALSE,100
123772,0,51780,1000,69410,Dunkerque France  ,FALSE,100
123772,0,67090,1000,116930,"Cleveland, OH United States  ",FALSE,100
123772,0,39710,1000,54440,"Barrie, ON Canada  ",FALSE,100
123772,0,88900,1000,182620,"Detroit, MI United States  ",TRUE,100
123772,0,44360,1000,63770,"Erie, PA United States  ",FALSE,100
123772,0,25990,1000,53960,"Killeen, TX United States  ",FALSE,100
123772,0,51280,1000,84330,"Eugene, OR United States  ",FALSE,100
123772,0,33130,1000,48450,"Greeley, CO United States  ",FALSE,100
123772,0,46790,1000,180240,"Brownsville, TX United States  ",FALSE,100
123772,0,65350,1000,156040,"Buffalo, NY United States  ",FALSE,100
123772,0,100700,1000,129490,Grenoble France  ,TRUE,100
123772,0,54500,1000,100190,"Reno, NV-CA United States  ",FALSE,100
221315,0,60180,2000,96320,Arnhem Netherlands  ,FALSE,100
221315,0,75740,2000,139300,Khabarovsk Russia  ,FALSE,100
221315,0,33590,2000,18160,Banjul Gambia  ,FALSE,100
221315,0,91050,2000,122770,Ghent Belgium  ,FALSE,100
221315,0,72920,2000,136190,Mito Japan  ,FALSE,100
221315,0,78970,2000,95600,Braunschweig Germany  ,FALSE,100
221315,0,134110,2000,290470,Donetsk Ukraine  ,FALSE,100
221315,0,391870,2000,993190,"New York, NY-NJ-CT United States  ",TRUE,100
221315,0,123300,2000,304390,Porto Portugal  ,FALSE,100
221315,0,43910,2000,58980,Hamilton New Zealand  ,FALSE,100
221315,0,31370,2000,42620,"White Rock, BC Canada  ",FALSE,100
221315,0,49920,2000,111050,Helsinki Finland  ,FALSE,100
221315,0,32770,2000,38700,"Luziana, Brazil",FALSE,100
221315,0,59430,2000,100870,Port of Spain Trinidad & Tobago  ,FALSE,100
221315,0,36200,2000,39040,Orebro Sweden  ,FALSE,100
221315,0,68730,2000,276200,"San Francisco-San Jose, CA United States",FALSE,100
221315,0,183230,2000,183990,Arabia Khamis Mushayt Saudi  ,FALSE,100
221315,0,60290,2000,128630,Christchurch New Zealand  ,FALSE,100
221315,0,90890,2000,150550,Liege Belgium  ,FALSE,100
221315,0,22590,2000,27040,Kristiansand Norway  ,FALSE,100
221315,0,34050,2000,46690,Helsingborg Sweden  ,FALSE,100
221315,0,57410,2000,97170,"Oxnard, CA United States  ",FALSE,100
221315,0,65190,2000,91140,Magdeburg Germany  ,FALSE,100
221315,0,91260,2000,185890,"Miami, FL United States  ",FALSE,100
221315,0,21050,2000,31450,Jonkoping Sweden  ,FALSE,100
221315,0,34500,2000,31640,Palmerston North New Zealand  ,FALSE,100
221315,0,20320,2000,24180,Hastings New Zealand  ,FALSE,100
221315,0,58630,2000,72640,Reims France  ,FALSE,100
221315,0,121510,2000,162090,"Honolulu, HI United States  ",FALSE,100
221315,0,84710,2000,212810,"Ottawa, ON-QC Canada  ",FALSE,100
316756.6563,0,65710,3000,220040,Johannesburg-East Rand South Africa  ,FALSE,100
316756.6563,0,28510,3000,96510,"Sanya, HA China  ",FALSE,100
316756.6563,0,152070,3000,280470,Marseille France  ,FALSE,100
316756.6563,0,150330,3000,266930,Samarkand Uzbekistan  ,FALSE,100
316756.6563,0,61270,3000,135090,Kurashiki Japan  ,FALSE,100
316756.6563,0,158890,3000,170810,Misratah Libya  ,FALSE,100
316756.6563,0,215720,3000,403490,Dubai United Arab Emirates  ,FALSE,100
316756.6563,0,146870,3000,215860,Nuremberg Germany  ,TRUE,100
316756.6563,0,162880,3000,321430,Amsterdam Netherlands  ,FALSE,100
316756.6563,0,95770,3000,269410,Doha Qatar  ,FALSE,100
316756.6563,0,168800,3000,495290,Harare Zimbabwe,FALSE,100
316756.6563,0,146350,3000,219070,Yazd Iran  ,FALSE,100
316756.6563,0,54960,3000,56640,Crawley United Kingdom  ,FALSE,100
316756.6563,0,34030,3000,31370,Lowestoft United Kingdom  ,FALSE,100
316756.6563,0,244920,3000,305630,Ipoh Malaysia  ,FALSE,100
316756.6563,0,80990,3000,196990,"Tongling, AH China  ",FALSE,100
316756.6563,0,25970,3000,42180,Bridgend United Kingdom  ,FALSE,100
316756.6563,0,56430,3000,124830,"Xucheng (Zaozhuang), SD China  ",FALSE,100
316756.6563,0,93460,3000,219800,Katowice-Gliwice-Tychy Poland  ,FALSE,100
316756.6563,0,95750,3000,284140,Dnipropetrovsk Ukraine  ,FALSE,100
316756.6563,0,88650,3000,236100,Stuttgart Germany  ,FALSE,100
316756.6563,0,64600,3000,180420,Samara Russia  ,FALSE,100
316756.6563,0,9620,3000,3990,Nuuk Greenland  ,FALSE,100
316756.6563,0,73160,3000,138990,Bergamo Italy  ,FALSE,100
316756.6563,0,356470,3000,515620,Beirut Lebanon  ,FALSE,100
316756.6563,0,147120,3000,295640,Copenhagen Denmark  ,FALSE,100
316756.6563,0,35870,3000,32410,Macclesfield United Kingdom  ,FALSE,100
316756.6563,0,20790,3000,157940,Bloemfontein South Africa  ,FALSE,100
316756.6563,0,119960,3000,133890,"Wuzhou, GX China  ",FALSE,100
316756.6563,0,148840,3000,146960,Arabia Buraydah Saudi  ,FALSE,100
253633.3281,0,39390,4000,39500,Darlington United Kingdom  ,FALSE,100
253633.3281,0,35590,4000,45460,Lancaster United Kingdom,FALSE,100
253633.3281,0,57170,4000,84480,Swindon United Kingdom  ,FALSE,100
253633.3281,0,261030,4000,234220,Libreville Gabon  ,FALSE,100
253633.3281,0,86130,4000,146380,Belfast United Kingdom  ,FALSE,100
253633.3281,0,193220,4000,236870,Krasnodar Russia  ,FALSE,100
253633.3281,0,47760,4000,79510,Doncaster United Kingdom  ,FALSE,100
253633.3281,0,320100,4000,687050,Kuala Lumpur Malaysia  ,TRUE,100
253633.3281,0,95720,4000,151420,Coventry United Kingdom  ,FALSE,100
253633.3281,0,48030,4000,37610,Hartlepool United Kingdom  ,FALSE,100
253633.3281,0,139390,4000,246080,Zagreb Croatia  ,FALSE,100
253633.3281,0,35720,4000,36180,Southport United Kingdom  ,FALSE,100
253633.3281,0,33910,4000,45110,Wellingborough United Kingdom  ,FALSE,100
253633.3281,0,299550,4000,473550,Ciudad Juarez Mexico  ,FALSE,100
253633.3281,0,51770,4000,122770,Bournemouth/Poole United Kingdom  ,FALSE,100
253633.3281,0,222740,4000,289920,Lviv Ukraine  ,FALSE,100
253633.3281,0,29320,4000,62150,Berezniki Russia  ,FALSE,100
253633.3281,0,49650,4000,54240,Exeter United Kingdom  ,FALSE,100
253633.3281,0,33410,4000,85810,Accrington/Rossendale United Kingdom  ,FALSE,100
253633.3281,0,92380,4000,214650,Newcastle upon Tyne United Kingdom  ,FALSE,100
253633.3281,0,36400,4000,34660,Clacton-on-Sea United Kingdom  ,FALSE,100
253633.3281,0,31780,4000,50300,Redditch United Kingdom  ,FALSE,100
253633.3281,0,57700,4000,52220,Bedford United Kingdom  ,FALSE,100
253633.3281,0,35000,4000,40030,Royal Tunbridge Wells United Kingdom  ,FALSE,100
253633.3281,0,58160,4000,115570,Wigan United Kingdom,FALSE,100
253633.3281,0,164820,4000,201850,"Cangzhou, HEB China  ",FALSE,100
253633.3281,0,223860,4000,268410,Saltillo Mexico  ,FALSE,100
253633.3281,0,115130,4000,211460,"Thoothukkudi, TN India  ",FALSE,100
253633.3281,0,59860,4000,68520,Cambridge United Kingdom  ,FALSE,100
253633.3281,0,75840,4000,162490,Niigata Japan  ,FALSE,100
422755,0,359650,5000,506130,"Ningbo, ZJ China  ",FALSE,100
422755,0,58250,5000,74270,York United Kingdom  ,FALSE,100
422755,0,162020,5000,255700,"Yulin, GX China  ",FALSE,100
422755,0,143910,5000,165900,Ceboksary Russia  ,FALSE,100
422755,0,151490,5000,305820,Bishkek Kyrgyzstan  ,FALSE,100
422755,0,949090,5000,1050940,"Kunming, YN China  ",FALSE,100
422755,0,50550,5000,66400,"Bijie, GZ China  ",FALSE,100
422755,0,46220,5000,40520,"Chizhou, AN China  ",TRUE,100
422755,0,224210,5000,301210,Ulaanbaatar Mongolia  ,FALSE,100
422755,0,185160,5000,190600,"Neijiang, SC China  ",FALSE,100
422755,0,139700,5000,191360,"Liaoyuan, JL China  ",FALSE,100
422755,0,68660,5000,145180,"Zhangjiaggang-Jiangyin, (Suzhou-Wuxi) JS China  ",FALSE,100
422755,0,214720,5000,560340,Monterrey Mexico  ,FALSE,100
422755,0,158940,5000,196310,Oaxaca,FALSE,100
422755,0,117030,5000,234790,Mexicali Mexico  ,FALSE,100
422755,0,88320,5000,61510,"Shizuishan, NX China  ",FALSE,100
422755,0,104650,5000,135720,"Dongying, SD China  ",FALSE,100
422755,0,158890,5000,314870,Santos Brazil  ,FALSE,100
422755,0,150570,5000,230220,Uberlandia Brazil  ,FALSE,100
422755,0,78220,5000,86500,Murmansk Russia  ,FALSE,100
422755,0,196900,5000,354590,Barquisimeto,FALSE,100
422755,0,120190,5000,189790,Leicester United Kingdom  ,FALSE,100
422755,0,81310,5000,150980,Cardiff United Kingdom  ,FALSE,100
422755,0,143370,5000,195980,"Shaoguan, GD China  ",FALSE,100
422755,0,90330,5000,107920,Luton United Kingdom  ,FALSE,100
422755,0,47900,5000,85400,Oxford United Kingdom  ,FALSE,100
422755,0,502280,5000,684990,"Wuxi, JS China  ",FALSE,100
422755,0,164520,5000,314230,Joao Pessoa Brazil  ,FALSE,100
422755,0,108410,5000,175950,Tomsk Russia  ,FALSE,100
422755,0,98730,5000,144340,Wakayama Japan  ,FALSE,100
614131,0,158890,6000,314870,Santos Brazil  ,FALSE,100
614131,0,45090,6000,232840,"Liaoyang, LN China  ",FALSE,100
614131,0,117970,6000,540650,Rawalpindi-Islamabad Pakistan  ,FALSE,100
614131,0,214360,6000,525780,Bucharest Romania  ,FALSE,100
614131,0,168170,6000,219770,"Patiala, HR India  ",FALSE,100
614131,0,227820,6000,418950,tianshan Urumqi,FALSE,100
614131,0,102280,6000,120910,Smolensk Russia  ,FALSE,100
614131,0,75390,6000,86650,"Gaoyou (Yangzhou), JS China  ",TRUE,100
614131,0,140500,6000,539490,Fortaleza Brazil  ,FALSE,100
614131,0,288530,6000,872100,Santiago Chile  ,FALSE,100
614131,0,194720,6000,356630,Tainan Taiwan  ,FALSE,100
614131,0,272230,6000,562160,Minsk Belarus  ,FALSE,100
614131,0,193610,6000,308060,Tbilisi Georgia  ,FALSE,100
614131,0,259040,6000,891530,London United Kingdom,FALSE,100
614131,0,202050,6000,254250,Antalya Turkey  ,FALSE,100
614131,0,104650,6000,135720,"Dongying, SD China  ",FALSE,100
614131,0,157620,6000,183940,"Jixi, HL China  ",FALSE,100
614131,0,164520,6000,314230,Joao Pessoa Brazil  ,FALSE,100
614131,0,154390,6000,308240,Sofia Bulgaria  ,FALSE,100
614131,0,129970,6000,234530,Ribeirao Preto Brazil  ,FALSE,100
614131,0,181220,6000,294430,Kingston Jamaica  ,FALSE,100
614131,0,424580,6000,1193700,Bangkok Thailand  ,FALSE,100
614131,0,162360,6000,183010,"Linfen, SAX China  ",FALSE,100
614131,0,298470,6000,441190,Kut al Hajjal Basra,FALSE,100
614131,0,42030,6000,131450,"Qingyuan, GD China  ",FALSE,100
614131,0,765540,6000,1641030,"Tianjin, China  ",FALSE,100
614131,0,66590,6000,120660,"Rizhao, SD China  ",FALSE,100
614131,0,436320,6000,546920,"Rep De Chile, Leon Mexico",FALSE,100
614131,0,175050,6000,195590,"Jiaxing, ZJ China  ",FALSE,100
614131,0,134470,6000,196220,"Shizuoka city, Japan",FALSE,100
544443.5625,0,97630,7000,108150,"Udon Thani, Thailand  ",,100
544443.5625,0,335690,7000,695480,"Taiyuan, SAX China  ",,100
544443.5625,0,232360,7000,383290,"Kaduna, Nigeria",,100
544443.5625,0,132320,7000,176980,"Ezhou, HUB China  ",,100
544443.5625,0,144070,7000,202360,"Lianyungang, JS China  ",,100
544443.5625,0,83620,7000,211900,"Taizhou, ZJ China  ",,100
544443.5625,0,22810,7000,101420,"Pizhou (Xuxhou), JS China  ",,100
544443.5625,0,207540,7000,190540,Faso Bobo-Dioulasso Burkina  ,,100
544443.5625,0,464790,7000,642510,"La Paz, Bolivia  ",,100
544443.5625,0,220270,7000,622640,Kaohsiung Taiwan  ,,100
544443.5625,0,742120,7000,1666790,"Hyderabad, India  ",,100
544443.5625,0,151050,7000,454920,San Salvador El Salvador  ,,100
544443.5625,0,213200,7000,375880,"Toluca, Mexico  ",,100
544443.5625,0,41420,7000,106030,Blumenau Brazil  ,,100
544443.5625,0,142310,7000,318340,Santiago Cuba  ,,100
544443.5625,0,79210,7000,32180,Guinea Malabo Equitorial,,100
544443.5625,0,25570,7000,25560,"Berat, Albania  ",,100
544443.5625,0,169090,7000,234650,Jambi Indonesia  ,,100
544443.5625,0,51770,7000,242550,"Raurkela, India  ",,100
0,1,1170,7000,8570,"Kaduna, Nigeria  ",,100
544443.5625,0,202200,7000,273190,"Bacolod, Philippines  ",,100
544443.5625,0,99120,7000,402640,"Ankara, Turkey",,100
544443.5625,0,350140,7000,385330,"Dandong, China  ",,100
544443.5625,0,228590,7000,190180,"Xalapa, Mexico  ",,100
544443.5625,0,483740,7000,587190,"Shantou, GD China  ",,100
544443.5625,0,211110,7000,374780,"Toluca, Mexico  ",,100
544443.5625,0,252130,7000,712420,Amman Jordan  ,,100
544443.5625,0,82170,7000,135700,"Guigang, GX China  ",,100
544443.5625,0,173050,7000,231380,"Chisinau, Moldova  ",,100
